Club Name,Advisor Name,Description,Day (1-10),Meeting Time (Flex/Long Break),Major/Minor,Activity Type
Acorn Tech,Brandão,"This club provides students with the opportunity to learn and collaborate with others interested in programming. For anyone who enjoys coding games, apps, websites or even for those who are curious about how technology works, this is the place! Our ultimate goal is to provide an open environment where students have the ability to create without limits both individually and as a team.",1,Flex,minor,Academic
American Sign Language Club,"Calderon, Smith","Learn American Sign Language with basic and emergency signs, explore Deaf culture through movies and TV shows, and get involved in presentations or service activities.",5,Flex,minor,Activism
Amnesty International,Addis,"Amnesty International club is a group affiliated with the global human rights organization, looking to spread awareness about human rights.",10,Flex,major,Activism
Animal Awareness Club,Fisher,"At the Animal Awareness Club, we help animals in need while gaining service hours! We discuss issues revolving around animal cruelty, endangered animals, and how we can help. On regular days we do fun, hands-on activities such as making dog toys or treats and then donating them to charities. We hope to volunteer at shelters occasionally. We also plan to host fundraising events such as bake sales to raise money for certain organizations. Animal Awareness Club is a great way for students to relax while helping animals!",3,Flex,minor,Activism
The Art of Boxing,Jackson,Come learn about boxing,5,Flex,minor,
Art Open Studios,"Royer, McGuigan, Lovitz","Open Studios offer students at Shipley the opportunity to immerse themselves in creative projects. Held Monday through Thursday, these sessions allow students to work independently, encouraging them to explore their artistic voice and develop their skills in various mediums. The atmosphere is one of collaboration and inspiration, as students can gather in the studio, share ideas, and provide constructive feedback. One day a week, Art faculty will offer guided art projects. These sessions focus on 2D materials, providing students instruction and support to experiment with techniques ranging from painting to graphic design. This structured yet flexible approach will enhance students' artistic repertoire while benefiting from direct instruction. Independent exploration and guided practice fosters a creative environment for students to thrive, enriching their artistic journey.","1, 2, 3, 4, 6, 7, 8, 9",Flex,minor,Music/Arts
Arts Committee,"Givler, Royer, Clark","The Arts Committee provides leadership with art focused programming in the school, including promotion, marketing, and curating opportunities for the Theatre, Music, and Visual Arts at Shipley.","4, 9",Long Break,major,Committees/Leadership
Asian Student Alliance,"Prakash, Alicea",Seeks to create an inclusive school environment by strengthening our impact on the greater student body through advocacy and awareness of the AAPI experience and by sponsoring a variety of activities that center AAPI experiences.,8,Flex,major,Affinity/Heritage
Belonging and Connection Committee,"Alicea, Frankel, Smith",Creates spaces for the Shipley community to advance identities through cultural interconnectedness. Promotes cultural understanding and advancements through actionable goals,4,Flex,major,Committees/Leadership
Book Club,Phiambolis,"Do you love books? Then join the Upper School Book Club where we explore a wide range of books and engage in lively discussions. Whether you're an avid reader or just looking to expand your horizons, our club offers a welcoming space to share your thoughts and discover new favorites.",3,Flex,minor,Games & Fun
BSU,"Gaines, Brown","BSU's mission is to educate our community about what being Black means in today's society. We wish to teach others about diversity through engaging activities centered around acceptance, while also providing a space for Black students to feel loved and cared for. We hope to build self-esteem, encouragement, and friendship as our members navigate a world that far too often overlooks and neglects our needs as human beings. This activity is open to all students.",3,Flex,major,Affinity/Heritage
Business Club,Pidot,,1,Flex,minor,Business
Ceramics Club,Royer,"Are you interested in the craft of sculpting and creating art out of clay? Look no further! In the Ceramics Club, you will be given the opportunity to create your own artwork using skills and tools learned during our club! Everyone is welcome regardless of how much or how little ceramics experience you have.","1, 6",Flex,minor,Music/Arts
Chess Club,Willing,"We gather to play chess. There are various opportunities in the club: from learning the game to challenging matches, but ultimately it is a time to play Chess. It's also a great way to meet students of all grades and show your competitive nature in a different field! ""Chess holds its master in its own bonds, shackling the mind and brain so that the inner freedom of the very strongest must suffer."" - Albert Einstein",7,Flex,minor,Games & Fun
Compass,Gondi,"The Compass, Shipley's literary magazine, publishes the creative writing and artwork of Shipley Upper School students. We work together to create and select pieces for this glossy publication. Our club meetings include creative writing exercises, sharing our work, editing the work of others, choosing artwork, and proofing the final magazine.","1, 6",Flex,major,Publications/Media
Debate,Simpson,Are you interested in public speaking? Do you enjoy discussing hot topics and sharing your opinions? Do you like to argue? The Debate activity is an opportunity to think critically and analyze domestic American politics as well as international relations. We will practice formal debate process and techniques---specifically Parliamentary Debate---with the goal of participating in debate tournaments with other schools.,2,Flex,major,Academic
DECA,Richard,"DECA prepares the next generation of business leaders to become academically prepared, community oriented, professionally responsible, and experienced at effective workplace leadership. We welcome all students at Shipley with career interests in marketing, entrepreneurship, finance, hospitality, materials handling, and management. We plan to attend several conferences this year (at the District, State, and National levels) and participate in other fun activities associated with the Pennsylvania and National DECA organizations.",1,Flex,major,Business
Dungeons and Dragons,Zodda,"Dungeons and Dragons is a game where players are led on an adventure in a fantasy world where they have nearly complete freedom to do whatever they want with the skills and tools of the characters they themselves design. Their adventure is narrated and refereed by a player called the Dungeon Master, who details the surroundings, manages the rules, and moves the story forward. The other players use their creativity and their character's ever-evolving stats to solve problems and fight monsters. Seven different kinds of dice are used in the game to determine the success of various actions the players might try to do. Dungeons and Dragons is not a video game or a board game, but a roleplaying game that takes place in the players collective imagination.","3, 9",Flex,minor,Games & Fun
Ethics in the Modern World,Wellenbach,"Explore ethical questions, challenge your thinking, and engage in thoughtful discussion and debate about the world we live in, from tech to politics and all the way to religion while maintaining a fun environment. If you enjoy harkness type conversations or debates, you will likely find this club interesting.",6,Flex,minor,Academic
Events Planning Committee,Denbigh and Varner,"The focus of this committee is to partner with student government in organizing, promoting, planning, and executing four key community events throughout the year: Super Saturday, Halloween, Swamp Night, and Spring Fling. It is a fabulous opportunity to learn about the behind-the-scenes-work in making an event come together and to become a leader in creating special moments for the Shipley community.",4,Flex,major,Committees/Leadership
Film and Movie Evaluation (FAME) Club,Winiarski,Film and Movie Evaluations Club (FAME Club) is a space for students who share a love for movies and shows to come together to turn their passion into a hobby. We will watch a selected movie (voted through a Google form poll) for the duration of two sections and have group discussions based on our opinions and takeaways from the movies. There will be a form via Google Docs that will require each student to reflect thoughtfully on the movie and then share with the group. This will be a fun opportunity for movie-enthusiasts to delve into deeper topics and inspire critical thinking.,9,Flex,minor,Games & Fun
Girls' Spark Club,Atkins,"This club is for female-identifying students in high school. The club's goals are to spread awareness towards teenage mental health, to make others feel like they are not alone in what they are going through, and to connect with others by being a part of the club together.",2,Flex,major,Activism
HOSA/Future Medical Professionals,Clement & TBC,"HOSA is an organization for those interested in healthcare and what it is about. Members have the opportunity to explore a wide range of medical fields, develop leadership and teamwork skills, and hopefully participate in competitive events such as medical terminology or patient care in small teams. Students can also engage in community service, health education, and volunteer opportunities that make a positive impact locally. One of these activities could be making identification cards for NICU babies. Through HOSA, members gain real-world experience, build confidence, and connect with others who share an interest in health and medicine.",10,Flex,major,Academic
Jewish Heritage Association,"Bejar-Massey, Goren",The Jewish Heritage Association is a group that welcomes all US students and is focused on Jewish cultural celebration. This group celebrates Jewish heritage (often in delicious and laughter and joy-filled ways). It plans celebrations/awareness of holidays and the like. This is a young club so there are lots of opportunities for student leadership (you?) to find their footing and guide our plans accordingly.,3,Flex,major,Affinity/Heritage
Latinx and Hispanic Heritage Club,Medina + Calderón,"The focus is on building cultural identity and celebrating Latinx and/or Hispanic heritage. It explores what it means to identify as individuals of Latin American cultural or ethnic background in the United States and in the global context. This affinity space fosters the sharing of experiences, the creation of programming, and advocacy efforts.",8,Flex,major,Affinity/Heritage
Lifting Club,Jackson,"This club is a space for students of all experience levels who want to improve in the gym and work toward personal goals. We start by getting to know each member, your experience, interests, and what you want to achieve, then focus on learning proper form and building a strong foundation with basic exercises. As the year goes on, members will set realistic goals, whether that's getting stronger, improving technique, or staying consistent. We'll provide support through simple workout guidance, hands-on help in the gym, and regular check-ins to track progress and make adjustments. By the end of the year, members will be able to see how far they've come and, if they want, share their progress. This club is about improving, staying accountable, and helping each other get better.",7,Flex,minor,Sports/Wellness
